id,name,da_ban,sku,price,list_price,discount,discount_rate,review_count,category
274933687,Sách GỌI SỮA KHÔNG KHÓ,232.0,6966267829727,179000,179000,0,0,9,nha-sach-tiki
274649745,Luật Tâm Thức – Vũ Trụ Nhất Nguyên Luận,1748.0,9459423049473,210000,288000,78000,27,115,nha-sach-tiki
273691914,Trăm năm cô đơn,97.0,3210103536175,152000,199000,47000,24,5,nha-sach-tiki
272349551,Cú hích - Phiên bản cuối cùng (Tái bản),211.0,2078520533835,157000,198000,41000,21,7,nha-sach-tiki
272349547,"Phương pháp Simon: Cách học nhanh, nhớ lâu mọi kiến thức",170.0,7488224529221,131000,179000,48000,27,9,nha-sach-tiki
271516872,Letting Go - Lộ Trình Đi Đến Sự Buông Bỏ,0.0,7658279037364,143200,179000,35800,20,0,nha-sach-tiki
271278938,AI 2041 - 10 Viễn cảnh cho tương lai,1034.0,2430715681444,224000,298000,74000,25,52,nha-sach-tiki
270546273,Combo Tư Duy Ngược + Tư Duy Mở (Nguyễn Anh Dũng) SBOOKS ,3207.0,3955850316130,135000,276000,141000,51,182,nha-sach-tiki
263790942,Kẻ Thua Cuộc Giỏi Nhất Sẽ Giành Chiến Thắng - Đừng Để Vài Thất Bại Trên Sàn Chứng Khoán Khiến Bạn Chùn Bước,4.0,8286306585514,188000,188000,0,0,0,nha-sach-tiki
217172960,Bút lông bảng Thiên Long WB-03,187.0,5937729756712,8200,9100,900,10,0,nha-sach-tiki
186265449,Bạn Đang Nghịch Gì Với Đời Mình? (Tái Bản 2022),1210.0,2643340082789,88400,124000,35600,29,44,nha-sach-tiki
169377739,Búp Sen Xanh (Tái Bản 2020),299.0,5952153279434,61200,72000,10800,15,26,nha-sach-tiki
158641027,Kẻ Nhắc Tuồng (Tái Bản),857.0,7075456994255,111000,155000,44000,28,176,nha-sach-tiki
158019964,Combo 4 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến (Tái Bản),0.0,7241191404500,388000,486000,98000,20,0,nha-sach-tiki
155550591,Dinh Dưỡng Học Bị Thất Truyền - Dinh Dưỡng Đẩy Lùi Bệnh Tật,4968.0,4286056675035,136000,178000,42000,24,361,nha-sach-tiki
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,15238.0,1967959392540,94900,135000,40100,30,2066,nha-sach-tiki
139303869,Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm (Tái Bản),5526.0,6866671666215,97400,128000,30600,24,568,nha-sach-tiki
135552451,Các Triều Đại Việt Nam,1102.0,8984896242706,82000,120000,38000,32,143,nha-sach-tiki
106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,2506.0,7417324116157,145000,145000,0,0,613,nha-sach-tiki
91553053,Tiểu Sử Các Quốc Gia Qua Góc Nhìn Lầy Lội,769.0,9395390696757,152000,215000,63000,29,61,nha-sach-tiki
77105730,Tàn Ngày Để Lại (Bìa Cứng),143.0,1945037129756,135200,169000,33800,20,42,nha-sach-tiki
76013378,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),12575.0,2491493924269,222000,319000,97000,30,1920,nha-sach-tiki
49002009,DƯỠNG TÂM GIÀU CÓ DƯỠNG THÂN NGHÈO KHÓ - NGUYỄN ANH DŨNG,3007.0,7132256472621,98000,98000,0,0,73,nha-sach-tiki
17336364,Phía Sau Nghi Can X (Tái Bản 2019),19478.0,2144215258059,93200,129000,35800,28,3541,nha-sach-tiki
12107394,Barron's Essential Words For The Toeic (Tái Bản),422.0,2975785987205,190400,238000,47600,20,94,nha-sach-tiki
10866297,Các Cuộc Chiến Tranh Tiền Tệ (Tái Bản),2528.0,3188681297142,97000,160000,63000,39,111,nha-sach-tiki
7496289,Sơn Nam - Lịch Sử Khẩn Hoang Miền Nam (Tái Bản),936.0,4805150779259,70000,115000,45000,39,94,nha-sach-tiki
1938895,Nghệ Thuật PR Bản Thân (Tái Bản 2018),78.0,3248730044865,84100,99000,14900,15,16,nha-sach-tiki
1667307,Quân Vương – Thuật Cai Trị (Tái Bản),115.0,9416226248958,89300,109000,19700,18,24,nha-sach-tiki
427631,Tầm Nhìn Thay Đổi Quốc Gia,2018.0,2423111669986,207000,268000,61000,23,49,nha-sach-tiki
277837132,Những Chủ nhật tháng Tám,17.0,5821521803661,110000,110000,0,0,0,nha-sach-tiki
277808321,Chậm Rãi Động Lòng (Tập 2),12.0,5949440246126,199000,199000,0,0,3,nha-sach-tiki
277750390,"Sách - Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè, Đất Nước",75.0,4487251531079,151050,159000,7950,5,2,nha-sach-tiki
277742612,Người Mẹ,10.0,2256627299180,131500,189000,57500,30,0,nha-sach-tiki
